#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  4 15:19:23 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	442	0.050	551
0.076	424	0.101	550
0.126	406	0.151	550
0.177	390	0.203	550
0.227	374	0.253	550
0.278	361	0.304	550
0.329	350	0.354	550
0.380	343	0.405	549
0.430	340	0.456	550
0.481	340	0.507	550
0.531	344	0.557	550
0.582	351	0.608	550
0.633	362	0.658	551
0.684	375	0.709	550
0.734	391	0.760	550
0.785	406	0.811	549
0.835	424	0.861	550
0.887	440	0.912	550
0.937	456	0.962	550
0.988	470	1.014	550
1.038	481	1.064	550
1.089	488	1.115	550
1.140	492	1.165	550
1.191	491	1.216	550
1.241	487	1.267	550
1.292	480	1.318	551
1.342	469	1.368	550
1.394	456	1.419	549
1.445	440	1.469	551
1.495	424	1.520	551
1.546	406	1.571	550
1.596	391	1.622	550
1.647	377	1.672	550
1.698	364	1.723	550
1.749	353	1.773	550
1.799	347	1.825	550
1.850	344	1.875	550
1.900	344	1.926	550
1.952	349	1.976	550
2.002	356	2.027	550
2.053	366	2.078	550
2.103	379	2.129	551
2.154	394	2.179	551
2.205	410	2.230	550
2.256	424	2.280	550
2.306	440	2.331	550
2.357	455	2.382	550
2.407	467	2.433	550
2.458	477	2.483	550
2.509	483	2.534	551
2.560	485	2.584	550
2.610	485	2.636	551
2.661	481	2.686	550
2.711	474	2.737	550
2.763	464	2.787	550
2.813	452	2.838	551
2.864	438	2.889	550
2.914	423	2.940	550
2.965	408	2.990	550
3.016	394	3.041	550
3.067	380	3.091	550
3.117	369	3.142	550
3.168	360	3.193	550
3.218	352	3.244	550
3.269	350	3.294	551
3.320	350	3.345	550
3.371	354	3.395	550
3.421	360	3.447	550
3.472	370	3.497	551
3.522	382	3.548	550
3.574	395	3.598	549
3.624	409	3.649	549
3.675	424	3.700	550
3.725	439	3.751	549
3.776	452	3.801	550
3.827	463	3.852	550
3.878	473	3.903	550
3.928	478	3.954	550
3.979	482	4.005	550
4.029	481	4.055	551
4.080	477	4.106	551
4.131	470	4.156	550
4.182	461	4.207	550
4.232	449	4.258	550
4.283	436	4.309	549
4.333	422	4.359	551
4.385	408	4.410	550
4.435	394	4.460	550
4.486	382	4.512	550
4.536	371	4.562	550
4.587	362	4.613	550
4.638	357	4.663	550
4.689	355	4.714	550
4.739	355	4.765	550
4.790	359	4.816	550
4.840	366	4.866	550
4.891	374	4.917	550
4.942	386	4.967	550
4.993	399	5.018	550
5.043	410	5.069	550
5.094	425	5.120	550
5.144	437	5.170	550
5.196	450	5.221	550
5.246	461	5.271	550
5.297	468	5.323	550
5.347	473	5.373	550
5.398	476	5.424	550
5.449	476	5.474	550
5.500	472	5.525	550
5.550	466	5.576	550
5.601	457	5.627	549
5.651	446	5.677	550
5.702	434	5.728	550
5.753	421	5.778	550
5.804	408	5.829	550
5.854	396	5.880	550
5.905	384	5.931	550
5.955	375	5.981	550
6.007	367	6.032	550
6.057	362	6.082	550
6.108	360	6.134	550
6.158	361	6.184	549
6.209	364	6.235	550
6.260	370	6.285	550
6.311	378	6.336	550
6.361	388	6.387	551
6.412	400	6.438	549
6.462	412	6.488	551
6.514	425	6.539	550
6.564	437	6.589	551
6.615	449	6.640	550
6.665	458	6.691	550
6.716	465	6.742	550
6.766	470	6.792	550
6.818	471	6.843	550
6.868	471	6.893	549
6.919	468	6.945	551
6.969	462	6.995	549
7.020	454	7.046	550
7.071	444	7.096	550
7.122	432	7.147	549
7.172	420	7.198	550
7.223	408	7.249	550
7.273	397	7.299	551
7.325	387	7.350	549
7.375	378	7.400	550
7.426	371	7.451	550
7.476	366	7.502	550
7.527	364	7.553	550
7.577	365	7.603	550
7.629	369	7.654	550
7.679	375	7.704	550
7.730	383	7.756	550
7.780	391	7.806	550
7.831	402	7.857	550
7.882	414	7.907	551
7.933	426	7.958	550
7.983	436	8.009	550
8.034	446	8.060	549
8.084	454	8.110	550
8.136	461	8.161	549
8.186	466	8.211	549
8.237	467	8.262	549
8.287	467	8.313	550
8.338	463	8.364	549
8.388	458	8.414	549
8.440	450	8.465	550
8.490	441	8.515	550
8.541	431	8.567	550
8.591	420	8.617	551
8.642	409	8.668	550
8.693	398	8.718	550
8.744	390	8.769	550
8.794	381	8.820	550
8.845	375	8.871	550
8.895	371	8.921	550
8.947	369	8.972	550
8.997	369	9.022	550
9.048	373	9.074	550
9.098	378	9.124	550
9.149	385	9.175	550
9.199	394	9.225	550
9.251	404	9.276	549
9.301	415	9.326	549
9.352	425	9.378	550
9.402	435	9.428	550
9.453	444	9.479	550
9.504	452	9.529	550
9.555	458	9.580	550
9.605	462	9.631	550
9.656	464	9.682	550
9.706	463	9.732	550
9.758	459	9.783	550
9.808	454	9.833	551
9.859	446	9.885	550
9.909	438	9.935	550
9.960	429	9.986	550
10.010	419	10.036	550
10.062	409	10.087	550
10.112	399	10.137	550
10.163	390	10.189	549
10.213	383	10.239	549
10.264	378	10.290	550
10.315	374	10.340	550
10.366	374	10.391	550
10.416	375	10.442	550
10.467	378	10.493	550
10.517	383	10.543	550
10.569	389	10.594	550
10.619	397	10.644	550
10.670	406	10.696	550
10.720	416	10.746	550
10.771	425	10.797	550
10.821	434	10.847	550
10.873	442	10.898	550
10.923	450	10.948	549
10.974	455	11.000	550
11.024	458	11.050	550
11.075	459	11.101	550
11.127	459	11.151	550
11.177	455	11.202	550
11.228	451	11.253	551
11.278	444	11.304	549
11.329	436	11.354	549
11.380	428	11.405	549
11.431	419	11.455	550
11.481	409	11.507	551
11.532	401	11.557	551
11.582	393	11.608	549
11.634	387	11.658	550
11.684	382	11.709	550
11.735	378	11.759	550
11.785	378	11.811	550
11.836	378	11.861	550
11.886	381	11.912	550
11.938	385	11.962	549
11.988	392	12.013	549
12.039	399	12.064	550
12.089	408	12.115	550
12.140	416	12.165	550
12.191	425	12.216	550
12.242	433	12.266	549
12.292	441	12.318	549
12.343	447	12.368	551
12.393	452	12.419	550
12.445	454	12.469	550
12.495	455	12.520	550
12.546	454	12.570	550
12.596	452	12.622	550
12.647	447	12.672	550
12.697	441	12.723	550
12.749	434	12.773	549
12.799	426	12.824	550
12.850	418	12.875	550
12.900	410	12.926	550
12.951	402	12.976	549
13.002	395	13.027	550
13.053	390	13.077	550
13.103	385	13.129	550
13.154	383	13.179	550
13.204	382	13.230	550
13.256	382	13.280	550
13.306	386	13.331	550
13.357	389	13.381	549
13.407	395	13.433	550
13.458	402	13.483	550
13.508	410	13.534	550
13.560	417	13.584	550
13.610	425	13.635	550
13.661	432	13.686	550
13.711	439	13.737	549
13.762	444	13.787	551
13.813	448	13.838	549
13.864	450	13.888	550
13.914	451	13.940	550
13.965	450	13.990	550
14.015	448	14.041	550
14.067	444	14.091	550
14.117	438	14.142	550
14.168	431	14.192	550
14.218	425	14.244	551
14.269	418	14.295	550
14.319	410	14.345	549
14.371	403	14.396	551
14.421	397	14.446	550
14.472	392	14.498	550
14.522	389	14.548	550
14.573	386	14.599	549
14.624	385	14.649	550
14.675	386	14.700	550
14.725	389	14.751	550
14.776	393	14.802	550
14.826	397	14.852	550
14.878	404	14.903	550
14.928	411	14.953	550
14.979	418	15.005	550
15.029	425	15.055	550
15.080	431	15.106	549
15.130	437	15.156	550
15.182	442	15.207	550
15.232	445	15.257	550
15.283	447	15.309	549
15.333	448	15.359	550
15.384	446	15.410	550
15.435	444	15.460	550
15.486	440	15.511	550
15.536	435	15.562	550
15.587	430	15.613	549
15.637	424	15.663	549
15.689	417	15.714	550
15.739	411	15.764	549
15.790	404	15.816	549
15.840	399	15.866	551
15.891	395	15.917	550
15.941	391	15.967	549
15.993	390	16.018	550
16.043	389	16.068	550
16.094	390	16.120	550
16.144	393	16.170	550
16.195	396	16.221	550
16.246	401	16.271	550
16.297	406	16.322	549
16.347	412	16.373	550
16.398	418	16.424	550
16.448	424	16.474	550
16.500	430	16.525	549
16.550	435	16.575	550
16.601	439	16.627	550
16.651	442	16.677	549
16.702	444	16.728	550
16.752	445	16.778	550
16.804	444	16.829	550
16.854	441	16.879	550
16.905	438	16.931	550
16.955	433	16.981	550
17.006	428	17.032	549
17.057	423	17.082	550
17.108	417	17.133	549
